Model,MedicalEnv_easy,MedicalEnv_hard,EducationEnv_easy,EducationEnv_hard,MusicEnv_easy,MusicEnv_hard,FantasyEnv_easy,FantasyEnv_hard,ChemicalEnv_easy,ChemicalEnv_hard
qwen2.5-3b-instruct,0.22000000000000003,0.048,0.10400000000000001,0.05600000000000001,0.184,0.05600000000000001,0.148,0.10800000000000001,0.264,0.044
qwen2.5-7b-instruct,0.544,0.18,0.268,0.156,0.26,0.124,0.32,0.248,0.44000000000000006,0.124
qwen2.5-14b-instruct,0.8320000000000001,0.476,0.828,0.548,0.656,0.22400000000000003,0.74,0.42400000000000004,0.724,0.236
qwen2.5-32b-instruct,0.8800000000000001,0.524,0.9039999999999999,0.636,0.664,0.24,0.7879999999999999,0.52,0.7040000000000001,0.276
qwen2.5-72b-instruct,0.8960000000000001,0.472,0.8480000000000001,0.5680000000000001,0.7559999999999999,0.368,0.5720000000000001,0.384,0.72,0.21200000000000002
llama-3.1-8b-instruct,0.52,0.11599999999999999,0.5680000000000001,0.17200000000000001,0.356,0.072,0.40800000000000003,0.13999999999999999,0.36,0.08
llama-3.1-70b-instruct,0.82,0.316,0.768,0.328,0.596,0.16,0.676,0.336,0.62,0.14
llama-3.2-3b-instruct,0.29600000000000004,0.11600000000000002,0.192,0.07200000000000001,0.10800000000000001,0.036,0.152,0.06400000000000002,0.16399999999999998,0.032
llama-3.3-70b-instruct,0.8960000000000001,0.44000000000000006,0.9039999999999999,0.45999999999999996,0.596,0.14,0.704,0.54,0.45999999999999996,0.11200000000000002
mistral-large-instruct-2411,0.8960000000000001,0.54,0.876,0.552,0.6639999999999999,0.21200000000000002,0.8240000000000001,0.596,0.68,0.17200000000000001
gemma-2-27b-it,0.692,0.264,0.624,0.2,0.45600000000000007,0.1,0.524,0.18800000000000003,0.44399999999999995,0.096
gemma-2-9b-it,0.5760000000000001,0.11200000000000002,0.45999999999999996,0.23199999999999998,0.28400000000000003,0.06400000000000002,0.324,0.148,0.316,0.10400000000000001
deepseek-v3,0.9039999999999999,0.5960000000000001,0.9480000000000001,0.6880000000000001,0.8119999999999999,0.46399999999999997,0.9199999999999999,0.6160000000000001,0.8799999999999999,0.384
deepseek-r1,0.9359999999999999,0.712,0.9,0.852,0.868,0.368,0.9719999999999999,0.78,0.6799999999999999,0.344
o1-mini,0.9199999999999999,0.7,0.8560000000000001,0.776,0.8560000000000001,0.54,0.9440000000000002,0.764,0.8160000000000001,0.368
gpt-4o,0.9039999999999999,0.5640000000000001,0.892,0.672,0.672,0.24,0.776,0.5760000000000001,0.6839999999999999,0.196
gpt-3.5-turbo,0.284,0.136,0.296,0.076,0.176,0.08,0.29200000000000004,0.23199999999999998,0.31200000000000006,0.08
gpt-4o-mini,0.8240000000000001,0.38,0.692,0.34,0.6,0.192,0.76,0.43599999999999994,0.7440000000000001,0.20400000000000001
gemini-2.0-flash-exp,0.876,0.596,0.8800000000000001,0.652,0.76,0.388,0.7879999999999999,0.544,0.664,0.344
yi-lightning,0.756,0.41200000000000003,0.836,0.52,0.616,0.196,0.6000000000000001,0.308,0.556,0.1
claude-3.5-sonnet,0.9239999999999998,0.62,0.9239999999999998,0.62,0.6960000000000001,0.2,0.8960000000000001,0.484,0.692,0.276
claude-3.5-haiku,0.8160000000000001,0.384,0.836,0.492,0.616,0.26,0.7,0.43999999999999995,0.704,0.21999999999999997
qwq-32b,0.9199999999999999,0.64,0.9359999999999999,0.8119999999999999,0.868,0.472,0.9719999999999999,0.728,0.8200000000000001,0.404
llama-4-maverick-17b-128e-instruct,0.8960000000000001,0.612,0.9279999999999999,0.6519999999999999,0.6360000000000001,0.244,0.7719999999999999,0.516,0.532,0.132
llama-4-scout-17b-16e-instruct,0.86,0.42400000000000004,0.9359999999999999,0.41200000000000003,0.524,0.08,0.576,0.21999999999999997,0.384,0.096
